title,price,location,date_posted,link,category_id
Car seat cover vsp,"₹ 4,200","SEETAMMA PETA, VISAKHAPATNAM",APR 17,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294,1585
Car Cover for sale,"₹ 2,000","KENCHANAPURA CROSS, BENGALURU",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kenchanapura-cross-bengaluru-iid-1806385301,1585
All cars side mirror cover abs plastic piano black batman style,"₹ 2,500","DWARKA SECTOR 98, DELHI",TODAY,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-dwarka-sector-98-delhi-iid-1800587295,1585
Maruthi Suzuki 800 car protection cover,"₹ 1,200","HASANABAD, HYDERABAD",TODAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-hasanabad-hyderabad-iid-1806373852,1585
Car covers for Taigun Suv and i10,"₹ 1,500","JAYANAGAR, BENGALURU",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jayanagar-bengaluru-iid-1806346825,1585
Car seat cover koc,"₹ 13,000","THYKOODAM, KOCHI",TODAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-thykoodam-kochi-iid-1806338066,1585
Car Seat Covers del,"₹ 3,800","TEEN MURTI MARG AREA, DELHI",APR 22,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254,1585
Swift Car Cover for sale,"₹ 1,100","PATRAN 176, PATRAN",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-patran-176-patran-iid-1806309597,1585
Recaro Santro Car Cover,₹ 800,"YOGI NAGAR TOWNSHIP, VADODARA",YESTERDAY,https://www.olx.in/item/spare-parts-c1587-recaro-santro-car-cover-in-yogi-nagar-township-vadodara-iid-1806305191,1587
Dash cam & Nexon reserve camera car cover,"₹ 10,000","SATHAGALLI LAYOUT, MYSURU",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-sathagalli-layout-mysuru-iid-1803781287,1585
